area,check,status,expected,actual,evidence,action
links,active_markdown_local_links,pass,all local Markdown links resolve,checked=115,README.md;SKILL.md;docs/**/*.md,repair or archive documents with broken local links
links,archive_markdown_local_links,pass,all preserved archive Markdown links resolve,checked=70,archive/**/*.md,repair relative links without changing archived experimental claims
inventory,canonical_active_documents,pass,17 canonical files,all present,docs/README.md,restore the canonical document or update the documented map
inventory,superseded_v2_design_archived,pass,design absent from active docs and preserved in archive,"active=False,archive=True",docs/design/a100_fp16_energy_experiment_design_v2.md;archive/superseded_v2_design_20260714/docs/design/a100_fp16_energy_experiment_design_v2.md,move the superseded v2 design and its assets to the dated archive
policy,no_stale_active_document_paths,pass,classified docs paths or explicit archive paths only,none,README.md;SKILL.md;docs/**/*.md,replace old root-level docs paths with current classified paths
policy,no_superseded_l2_energy_policy,pass,L2 final rows use equal ITER and direct net-energy subtraction,none,README.md;SKILL.md;docs/**/*.md,remove duration-scaled L2 final-policy statements
policy,current_tensor_revision_v6,pass,matched_runtime_clock_observed_control_fixed_rf_v6 present and superseded exact v4 marker absent,all current,README.md;src/main.cu;scripts/plan_platform_component_experiment.py;docs/platforms/a100_node_experiment_guide_ko.md;docs/platforms/v100_node_experiment_guide_ko.md;docs/platforms/h100_node_experiment_guide_ko.md,"synchronize source, planner, README, and node guides to Tensor v6"
policy,required_terms:README.md,pass,rtx3090_strict_scope_fresh_ncu_component_coefficients_20260714.md;component_energy_goal_readiness_audit_20260716.md,all present,README.md,synchronize the document with the current generated finalplan
policy,required_terms:SKILL.md,pass,docs/methodology/howitworks.md;docs/platforms/cross_platform_component_experiment_guide_ko.md;--shared-pair-policy;--l2-pair-policy;shared_scalar_addr_only,all present,SKILL.md,synchronize the document with the current generated finalplan
policy,required_terms:docs/methodology/component_energy_method_comparison_ko.md,pass,Tensor와 모든 memory pair;matched_iters_net_energy;L2 CG - address control,all present,docs/methodology/component_energy_method_comparison_ko.md,synchronize the document with the current generated finalplan
policy,required_terms:docs/methodology/howitworks.md,pass,"GA[global_addr_only;GA --> L1[global_l1_load_only;GA --> L2[l2_cg_load_only;GA --> DR[dram_cg_load_only;srcunit_ltcfabric;logical final L2 hit;(sweep_source_id, run_id, gpu_id);sweep_source_id",all present,docs/methodology/howitworks.md,synchronize the document with the current generated finalplan
policy,required_terms:docs/methodology/a100_l2_fabric_aware_experiment_design_ko.md,pass,"l2_logical_read_hit_rate_pct;l2_native_vs_fabric_model_hit_delta_pct;Not pure silicon-level energy;W_SM = 16, 128",all present,docs/methodology/a100_l2_fabric_aware_experiment_design_ko.md,synchronize the document with the current generated finalplan
policy,required_terms:docs/results/gpu_power_modeling_experiment_results_ko.md,pass,180/180 valid;24.949 pJ/bit,all present,docs/results/gpu_power_modeling_experiment_results_ko.md,synchronize the document with the current generated finalplan
policy,required_terms:docs/audits/component_energy_self_critique_ko.md,pass,RTX 3090은 2026-07-14 v5 package;모든 final pair의 matched ITER,all present,docs/audits/component_energy_self_critique_ko.md,synchronize the document with the current generated finalplan
policy,required_terms:docs/audits/multigpu_sweep_pairing_identity_fix_20260716_ko.md,pass,"(sweep_source_id, run_id, gpu_id);gpu_id`는 repeat/pass index가 아니라;source_file == control_source_file",all present,docs/audits/multigpu_sweep_pairing_identity_fix_20260716_ko.md,synchronize the document with the current generated finalplan
policy,required_terms:scripts/plan_platform_component_experiment.py,pass,"Shared scalar energy rows use;--shared-pair-policy;--l2-pair-policy;matched-iters;Partition-fabric profiles apply 95% to final service after LTC-fabric recovery;(sweep_source_id, run_id, gpu_id)",all present,scripts/plan_platform_component_experiment.py,synchronize the document with the current generated finalplan
policy,required_terms:scripts/run_ncu_validation.sh,pass,lts__t_sectors_srcunit_ltcfabric_op_read;lts__t_sectors_srcunit_ltcfabric_aperture_device_op_read,all present,scripts/run_ncu_validation.sh,synchronize the document with the current generated finalplan
policy,required_terms:scripts/summarize_ncu_cache_metrics.py,pass,l2_logical_read_hit_rate_pct;l2_native_vs_fabric_model_hit_delta_pct,all present,scripts/summarize_ncu_cache_metrics.py,synchronize the document with the current generated finalplan
policy,required_terms:scripts/build_platform_intake_dashboard.py,pass,"historical_local_evidence;historical_pass;--goal-readiness-csv;row[""package_status""] == ""pass""",all present,scripts/build_platform_intake_dashboard.py,synchronize the document with the current generated finalplan
policy,required_terms:scripts/run_local_readiness_checks.sh,pass,"READINESS_TAG=""${READINESS_TAG:-20260716}"";--goal-readiness-csv ""results/summary/component_energy_goal_readiness_audit_${READINESS_TAG}.csv""",all present,scripts/run_local_readiness_checks.sh,synchronize the document with the current generated finalplan
profiles,rtx3090_profile_consistency,pass,C++/sweep/preflight/planner values match canonical profile facts,compared=26,include/config.hpp;scripts/run_sweep.py;scripts/preflight_gpu_support.py;scripts/plan_platform_component_experiment.py,update all profile definitions together
profiles,v100_profile_consistency,pass,C++/sweep/preflight/planner values match canonical profile facts,compared=26,include/config.hpp;scripts/run_sweep.py;scripts/preflight_gpu_support.py;scripts/plan_platform_component_experiment.py,update all profile definitions together
profiles,a100_profile_consistency,pass,C++/sweep/preflight/planner values match canonical profile facts,compared=26,include/config.hpp;scripts/run_sweep.py;scripts/preflight_gpu_support.py;scripts/plan_platform_component_experiment.py,update all profile definitions together
profiles,h100_profile_consistency,pass,C++/sweep/preflight/planner values match canonical profile facts,compared=26,include/config.hpp;scripts/run_sweep.py;scripts/preflight_gpu_support.py;scripts/plan_platform_component_experiment.py,update all profile definitions together
